Year,Units,data.Type_of_product,Value
2008,data.Kilograms_per_constant_2010_USD,data.CRO,0.04278
2008,data.Kilograms_per_constant_2010_USD,data.FEO,0.06009
2008,data.Kilograms_per_constant_2010_USD,data.FOF,0.22493
2008,data.Kilograms_per_constant_2010_USD,data.GAS,0.0281
2008,data.Kilograms_per_constant_2010_USD,data.GBO,0.01386
2008,data.Kilograms_per_constant_2010_USD,data.MEO,0.06793
2008,data.Kilograms_per_constant_2010_USD,data.NFO,0.06009
2008,data.Kilograms_per_constant_2010_USD,data.NMA,0.01386
2008,data.Kilograms_per_constant_2010_USD,data.NMC,0.4058
2008,data.Kilograms_per_constant_2010_USD,data.NMM,0.41319
2008,data.Kilograms_per_constant_2010_USD,data.PET,0.09584
2008,data.Kilograms_per_constant_2010_USD,data.RAW,0.78279
2008,data.Kilograms_per_constant_2010_USD,data.WCH,0.00248
2008,data.Kilograms_per_constant_2010_USD,data.WOD,0.00833
2009,data.Kilograms_per_constant_2010_USD,data.BIM,0.07503
2009,data.Kilograms_per_constant_2010_USD,data.COL,0.1029
2009,data.Kilograms_per_constant_2010_USD,data.CPR,0.00677
2009,data.Kilograms_per_constant_2010_USD,data.CRO,0.04497
2009,data.Kilograms_per_constant_2010_USD,data.FEO,0.04565
2009,data.Kilograms_per_constant_2010_USD,data.FOF,0.22808
2009,data.Kilograms_per_constant_2010_USD,data.GAS,0.0255
2009,data.Kilograms_per_constant_2010_USD,data.GBO,0.01516
2009,data.Kilograms_per_constant_2010_USD,data.MEO,0.05366
2009,data.Kilograms_per_constant_2010_USD,data.NFO,0.04565
2009,data.Kilograms_per_constant_2010_USD,data.NMA,0.01053
2009,data.Kilograms_per_constant_2010_USD,data.NMC,0.40204
2009,data.Kilograms_per_constant_2010_USD,data.NMM,0.4078
2009,data.Kilograms_per_constant_2010_USD,data.PET,0.09968
2009,data.Kilograms_per_constant_2010_USD,data.RAW,0.76457
2009,data.Kilograms_per_constant_2010_USD,data.WCH,0.00236
2009,data.Kilograms_per_constant_2010_USD,data.WOD,0.00732
2010,data.Kilograms_per_constant_2010_USD,data.BIM,0.06848
2010,data.Kilograms_per_constant_2010_USD,data.COL,0.11083
